element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
He,1,"=""""","=""""","=""414.1332157""","=""0.0000021""","=""""","=""3.069e+00""",AA,"=""[171134.894441]""","=""[195274.90585994]""","=""1s.2p""","=""1P*""","=""1""","=""1s.6p""","=""1P*""","=""1""",E2,"=""T7378""","=""""",
He,1,"=""414.3761""","=""""","=""414.3759059""","=""0.0000021""","=""3""","=""4.8812e+06""",AAA,"=""[171134.894441]""","=""[195260.76790341]""","=""1s.2p""","=""1P*""","=""1""","=""1s.6d""","=""1D""","=""2""",,"=""T8636c73""","=""L14925c72""",
Li,2,"=""415.645""","=""""","=""415.519""","=""0.021""","=""""","=""3.4105e+07""",AAA,"=""[558777.01]""","=""[582836.5]""","=""1s.3s""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",,"=""T8636c73""","=""L3501""",
He,1,"=""416.8967""","=""""","=""416.8971512""","=""0.0000021""","=""1""","=""1.8298e+06""",AAA,"=""[171134.894441]""","=""[195114.8660951]""","=""1s.2p""","=""1P*""","=""1""","=""1s.6s""","=""1S""","=""0""",,"=""T8636c73""","=""L366""",
Be,3,"=""""","=""""","=""416.63""","=""0.11""","=""""","=""4.5044e+07""",AAA,"=""[1177939.7]""","=""[1201935.30]""","=""1s.4s""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""""","=""419.115""","=""0.003""","=""""","=""3.0372e+02""",AAA,"=""[558777.01]""","=""[582630.08]""","=""1s.3s""","=""1S""","=""0""","=""1s.4d""","=""1D""","=""2""",E2,"=""T7378""","=""""",
Be,3,"=""""","=""""","=""419.97""","=""0.12""","=""""","=""4.4246e+02""",AAA,"=""[1177939.7]""","=""[1201744.3]""","=""1s.4s""","=""1S""","=""0""","=""1s.5d""","=""1D""","=""2""",E2,"=""T7378""","=""""",
Be,3,"=""""","=""""","=""424.41""","=""0.05""","=""""","=""1.1375e+04""",AAA,"=""[1178188.90]""","=""[1201744.3]""","=""1s.4p""","=""3P*""","=""2""","=""1s.5d""","=""1D""","=""2""",,"=""T8636c73""","=""""",
Be,3,"=""""","=""""","=""424.41""","=""0.05""","=""""","=""2.6686e+04""",AAA,"=""[1178188.90]""","=""[1201744.3]""","=""1s.4p""","=""3P*""","=""1""","=""1s.5d""","=""1D""","=""2""",,"=""T8636c73""","=""""",
Be,3,"=""424.914""","=""""","=""424.906""","=""0.012""","=""90w*""","=""1.1066e+08""",AAA,"=""[1178188.90]""","=""[1201716.90]""","=""1s.4p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""3""",,"=""T8636c73""","=""L2683""",
Be,3,"=""424.914""","=""""","=""424.906""","=""0.012""","=""90w*""","=""2.7654e+07""",AAA,"=""[1178188.90]""","=""[1201716.90]""","=""1s.4p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""2""",,"=""T8636c73""","=""L2683""",
Be,3,"=""424.914""","=""""","=""424.906""","=""0.012""","=""90w*""","=""8.2967e+07""",AAA,"=""[1178188.90]""","=""[1201716.90]""","=""1s.4p""","=""3P*""","=""1""","=""1s.5d""","=""3D""","=""2""",,"=""T8636c73""","=""L2683""",
Be,3,"=""424.914""","=""""","=""424.906""","=""0.012""","=""90w*""","=""3.0739e+06""",AAA,"=""[1178188.90]""","=""[1201716.90]""","=""1s.4p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""1""",,"=""T8636c73""","=""L2683""",
Be,3,"=""424.914""","=""""","=""424.906""","=""0.012""","=""90w*""","=""4.6109e+07""",AAA,"=""[1178188.90]""","=""[1201716.90]""","=""1s.4p""","=""3P*""","=""1""","=""1s.5d""","=""3D""","=""1""",,"=""T8636c73""","=""L2683""",
Be,3,"=""424.914""","=""""","=""424.906""","=""0.012""","=""90w*""","=""6.1478e+07""",AAA,"=""[1178188.90]""","=""[1201716.90]""","=""1s.4p""","=""3P*""","=""0""","=""1s.5d""","=""3D""","=""1""",,"=""T8636c73""","=""L2683""",
Li,2,"=""""","=""""","=""432.21""","=""0.03""","=""""","=""1.402e+04""",AA,"=""[559499.5]""","=""[582630.08]""","=""1s.3p""","=""3P*""","=""1""","=""1s.4d""","=""1D""","=""2""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""""","=""432.226""","=""0.015""","=""""","=""5.435e+03""",AA,"=""[559500.55]""","=""[582630.08]""","=""1s.3p""","=""3P*""","=""2""","=""1s.4d""","=""1D""","=""2""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""""","=""432.53""","=""0.03""","=""""","=""8.0701e+07""",AAA,"=""[559499.5]""","=""[582612.54]""","=""1s.3p""","=""3P*""","=""1""","=""1s.4d""","=""3D""","=""2""",,"=""T8636c73""","=""""",
Li,2,"=""432.542""","=""""","=""432.54""","=""0.03""","=""5*""","=""4.4842e+07""",AAA,"=""[559499.5]""","=""[582612.15]""","=""1s.3p""","=""3P*""","=""1""","=""1s.4d""","=""3D""","=""1""",,"=""T8636c73""","=""L3501""",
Li,2,"=""432.542""","=""""","=""432.542""","=""0.015""","=""5*""","=""1.0762e+08""",AAA,"=""[559500.55]""","=""[582613.20]""","=""1s.3p""","=""3P*""","=""2""","=""1s.4d""","=""3D""","=""3""",,"=""T8636c73""","=""L3501""",
Li,2,"=""432.547""","=""""","=""432.554""","=""0.015""","=""5""","=""2.6901e+07""",AAA,"=""[559500.55]""","=""[582612.54]""","=""1s.3p""","=""3P*""","=""2""","=""1s.4d""","=""3D""","=""2""",,"=""T8636c73""","=""L3501""",
Li,2,"=""432.554""","=""""","=""432.562""","=""0.015""","=""1""","=""2.9896e+06""",AAA,"=""[559500.55]""","=""[582612.15]""","=""1s.3p""","=""3P*""","=""2""","=""1s.4d""","=""3D""","=""1""",,"=""T8636c73""","=""L3501""",
Li,2,"=""""","=""""","=""432.578""","=""0.007""","=""""","=""5.9789e+07""",AAA,"=""[559501.45]""","=""[582612.15]""","=""1s.3p""","=""3P*""","=""0""","=""1s.4d""","=""3D""","=""1""",,"=""T8636c73""","=""""",
H,1,"=""""","=""""","=""434.0426937""","=""0.0000022""","=""""","=""7.8548e+06""",AAA,"=""82258.9191133""","=""105291.651993""","=""2p""","=""2P*""","=""1/2""","=""5d""","=""2D""","=""3/2""",,"=""T7771""","=""""",
H,1,"=""""","=""""","=""434.04309""","=""0.00011""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""c60""",
